 Iteration 40500, loss = 2.94478
 Iteration 40600, loss = 3.73341
 Iteration 40700, loss = 2.6624
 Iteration 40800, loss = 3.43689
 Iteration 40900, loss = 2.82419
 Iteration 41000, loss = 3.03293
 Iteration 41100, loss = 2.36162
 Iteration 41200, loss = 3.19503
 Iteration 41300, loss = 2.37302
 Iteration 41400, loss = 3.55358
 Iteration 41500, loss = 2.58051
 Iteration 41600, loss = 3.2511
 Iteration 41700, loss = 2.79907
 Iteration 41800, loss = 3.17145
 Iteration 41900, loss = 2.79001
 Iteration 42000, loss = 2.76718
 Iteration 42100, loss = 1.90671
 Iteration 42200, loss = 2.9647
 Iteration 42300, loss = 4.60197
 Iteration 42400, loss = 3.10416
 Iteration 42500, loss = 4.23788
 Iteration 42600, loss = 3.22177
 Iteration 42700, loss = 3.83334
 Iteration 42800, loss = 2.8935
 Iteration 42900, loss = 3.66189
 Iteration 43000, loss = 2.77128
 Iteration 43100, loss = 3.03897
 Iteration 43200, loss = 2.54486
 Iteration 43300, loss = 3.09462
 Iteration 43400, loss = 2.22941
 Iteration 43500, loss = 3.30361
 Iteration 43600, loss = 2.31751
 Iteration 43700, loss = 3.37467
 Iteration 43800, loss = 2.875
 Iteration 43900, loss = 3.19321
 Iteration 44000, loss = 2.80816
 Iteration 44100, loss = 3.00442
 Iteration 44200, loss = 2.52358
 Iteration 44300, loss = 2.7486
 Iteration 44400, loss = 2.54679
 Iteration 44500, loss = 3.1079
 Iteration 44600, loss = 4.96122
 Iteration 44700, loss = 3.21817
 Iteration 44800, loss = 4.10615
 Iteration 44900, loss = 3.04449
 Iteration 45000, loss = 3.66596
 Iteration 45100, loss = 2.70469
 Iteration 45200, loss = 3.49683
 Iteration 45300, loss = 2.83824
 Iteration 45400, loss = 2.96161
 Iteration 45500, loss = 2.28956
 Iteration 45600, loss = 3.04208
 Iteration 45700, loss = 2.19431
 Iteration 45800, loss = 3.23553
 Iteration 45900, loss = 2.47708
 Iteration 46000, loss = 3.08555
 Iteration 46100, loss = 2.70246
 Iteration 46200, loss = 3.22581
 Iteration 46300, loss = 2.66464
 Iteration 46400, loss = 2.84635
 Iteration 46500, loss = 2.07483
 Iteration 46600, loss = 2.81088
 Iteration 46700, loss = 3.95407
 Iteration 46800, loss = 2.97603
 Iteration 46900, loss = 4.22857
 Iteration 47000, loss = 3.13819
 Iteration 47100, loss = 3.88698
 Iteration 47200, loss = 2.91517
 Iteration 47300, loss = 3.57209
 Iteration 47400, loss = 2.63462
 Iteration 47500, loss = 3.19901
 Iteration 47600, loss = 2.47993
 Iteration 47700, loss = 2.99297
 Iteration 47800, loss = 2.20424
 Iteration 47900, loss = 3.11148
 Iteration 48000, loss = 2.20018
 Iteration 48100, loss = 3.26376
 Iteration 48200, loss = 2.62601
 Iteration 48300, loss = 3.09338
 Iteration 48400, loss = 2.67815
 Iteration 48500, loss = 3.03485
 Iteration 48600, loss = 2.5899
 Iteration 48700, loss = 2.7199
 Iteration 48800, loss = 1.88097
 Iteration 48900, loss = 2.99881
 Iteration 49000, loss = 4.89705
 Iteration 49100, loss = 3.02995
 Iteration 49200, loss = 4.06424
 Iteration 49300, loss = 2.93299
 Iteration 49400, loss = 3.59626
 Iteration 49500, loss = 2.65737
 Iteration 49600, loss = 3.45204
 Iteration 49700, loss = 2.77101
 Iteration 49800, loss = 2.84617
 Iteration 49900, loss = 2.40972
 Iteration 50000, loss = 3.05681
 Iteration 50100, loss = 2.10245
 Iteration 50200, loss = 3.16014
 Iteration 50300, loss = 2.34922
 Iteration 50400, loss = 3.09604
 Iteration 50500, loss = 2.70938
 Iteration 50600, loss = 3.13303
 Iteration 50700, loss = 2.59078
 Iteration 50800, loss = 2.81849
 Iteration 50900, loss = 2.19553
 Iteration 51000, loss = 2.66566
 Iteration 51100, loss = 3.25446
 Iteration 51200, loss = 2.98387
 Iteration 51300, loss = 4.38106
 Iteration 51400, loss = 2.98057
 Iteration 51500, loss = 3.86202
 Iteration 51600, loss = 2.82326
 Iteration 51700, loss = 3.49358
 Iteration 51800, loss = 2.6406
 Iteration 51900, loss = 3.24006
 Iteration 52000, loss = 2.61167
 Iteration 52100, loss = 2.87165
 Iteration 52200, loss = 2.13133
 Iteration 52300, loss = 2.97162
 Iteration 52400, loss = 2.13745
 Iteration 52500, loss = 3.20986
 Iteration 52600, loss = 2.49918
 Iteration 52700, loss = 3.16195
 Iteration 52800, loss = 2.63531
 Iteration 52900, loss = 3.08482
 Iteration 53000, loss = 2.62615
 Iteration 53100, loss = 2.66896
 Iteration 53200, loss = 1.94857
 Iteration 53300, loss = 2.87351
 Iteration 53400, loss = 4.36583
 Iteration 53500, loss = 3.03498
 Iteration 53600, loss = 4.06946
 Iteration 53700, loss = 2.88023
 Iteration 53800, loss = 3.6649
 Iteration 53900, loss = 2.74511
 Iteration 54000, loss = 3.58981
 Iteration 54100, loss = 2.58184
 Iteration 54200, loss = 2.89434
 Iteration 54300, loss = 2.49791
 Iteration 54400, loss = 3.04667
 Iteration 54500, loss = 2.13421
 Iteration 54600, loss = 3.11367
 Iteration 54700, loss = 2.17892
 Iteration 54800, loss = 3.11938
 Iteration 54900, loss = 2.76469
 Iteration 55000, loss = 3.10098
 Iteration 55100, loss = 2.6605
 Iteration 55200, loss = 2.84869
 Iteration 55300, loss = 2.22522
 Iteration 55400, loss = 2.75824
 Iteration 55500, loss = 2.55915
 Iteration 55600, loss = 2.8746
 Iteration 55700, loss = 4.73899
 Iteration 55800, loss = 3.01695
 Iteration 55900, loss = 3.83479
 Iteration 56000, loss = 2.92342
 Iteration 56100, loss = 3.54253
 Iteration 56200, loss = 2.67746
 Iteration 56300, loss = 3.35171
 Iteration 56400, loss = 2.66991
 Iteration 56500, loss = 2.77303
 Iteration 56600, loss = 2.2006
 Iteration 56700, loss = 2.99394
 Iteration 56800, loss = 2.09517
 Iteration 56900, loss = 3.00709
 Iteration 57000, loss = 2.34136
 Iteration 57100, loss = 3.05408
 Iteration 57200, loss = 2.64161
 Iteration 57300, loss = 3.03571
 Iteration 57400, loss = 2.6355
 Iteration 57500, loss = 2.68569
 Iteration 57600, loss = 1.96122
 Iteration 57700, loss = 2.83188
 Iteration 57800, loss = 3.79461
 Iteration 57900, loss = 2.97645
 Iteration 58000, loss = 4.22911
 Iteration 58100, loss = 2.99936
 Iteration 58200, loss = 3.74471
 Iteration 58300, loss = 2.81208
 Iteration 58400, loss = 3.50687
 Iteration 58500, loss = 2.5311
 Iteration 58600, loss = 3.03031
 Iteration 58700, loss = 2.53411
 Iteration 58800, loss = 2.97245
 Iteration 58900, loss = 2.08159
 Iteration 59000, loss = 2.91295
 Iteration 59100, loss = 2.15794
 Iteration 59200, loss = 3.10266
 Iteration 59300, loss = 2.68289
 Iteration 59400, loss = 3.06949
 Iteration 59500, loss = 2.627
